"abkuerzung","bezeichnung","bis","fk_zaehler","id1","richtung_in","richtung_out","von","objectid","korrekturfaktor","geometry"
"VZS_BINZ","Binzmühlestrasse","20180404000000","ECO09113500","7","Oerlikon","Glaubtenstrasse","20101130000000","1","1.2200000000","POINT (2681857 1251990.9)"
"VZS_BUCH","Bucheggplatz","20190313000000","ECO09113505","16","Hofwiesenstrasse","Höngg","20140626000000","2","1.2700000000","POINT (2682647 1250363.9)"
"VZS_KLOW","Kloster-Fahr-Weg","20200203000000","Y0412032046","53","Stadtgrenze","Innenstadt","20100625000000","3","0.9400000000","POINT (2679028 1250673.9)"
"VZS_HOFW","Hofwiesenstrasse","20190313000000","ECO09113507","13","Bucheggplatz","---","20100923000000","4","1.2800000000","POINT (2682683.2 1250569.6)"
"VZS_LIMB","Limmatquai --> Bellevue","20190603000000","Y2G14045587","61","Bellevue","---","20140625000000","5","1.4700000000","POINT (2683447 1247062.9)"
"VZS_LUXG","Lux-Guyer-Weg","20181220000000","ECO09022739","5","Innenstadt","Wipkingen","20091202000000","6","1.0000000000","POINT (2682933 1248820.9)"
"VZS_MILI","Militärbrücke","","Y2G13124879","60","Bahnhofstrasse","Langstrasse","20140312000000","7","0.9500000000","POINT (2682731 1247707.9)"
"VZS_MYTH","Mythenquai","20181221000000","ECO09113499","6","Innenstadt","Wollishofen","20100714000000","8","1.2000000000","POINT (2682873 1245890.9)"
"VZS_MUEH","Mühlebachstrasse","20180927000000","Y2G12102806","54","Bellevue","Riesbach","20100923000000","9","1.1900000000","POINT (2684006 1246565.9)"
"VZS_ZOLL","Zollstrasse","20190723000000","Y2G13124876","57","Sihlquai","Langstrasse","20140311000000","10","1.4900000000","POINT (2682946 1248224.9)"
"VZS_TOED","Tödistrasse","20160726000000","Y2G13124877","58","Seeufer","Hauptbahnhof","20140311000000","11","1.4100000000","POINT (2682881 1246548.9)"
"VZS_TALS","Talstrasse","20190919000000","Y2G13124878","59","Hauptbahnhof","Seeufer","20140312000000","12","1.3500000000","POINT (2682755 1247322.9)"
"VZS_SCHU","Schulstrasse","20190314000000","ECO10053914","15","Irchel","Bahnhof Oerlikon","20120808000000","13","1.4300000000","POINT (2683405 1251616.9)"
"VZS_BINZ","Binzmühlestrasse","20180929000000","ECO09113500","2960","Oerlikon","Glaubtenstrasse","20180411000000","14","1.2200000000","POINT (2681857 1251990.9)"
"VZS_ANDR","Andreasstrasse","20190922000000","ECO07091438","3928","Oerlikon","Wallisellen","20190313000000","15","1.1400000000","POINT (2684578 1251966.9)"
"VZS_SCHU","Schulstrasse","20190618000000","ECO06040592","3929","Irchel","Bahnhof Oerlikon","20190315000000","16","1.4300000000","POINT (2683405 1251616.9)"
"VZS_HOFW","Hofwiesenstrasse","20190618000000","ECO07101504","3930","Bucheggplatz","---","20190314000000","17","1.2800000000","POINT (2682683.2 1250569)"
"VZS_BINZ","Binzmühlestrasse","20190510000000","ECO08011668","3932","Oerlikon","Glaubtenstrasse","20190315000000","18","1.2200000000","POINT (2681857 1251990.9)"
"VZS_ANDR","Andreasstrasse","20190313000000","ECO09113502","9","Oerlikon","Wallisellen","20101216000000","19","1.1400000000","POINT (2684578 1251966.9)"
"VZS_SIHL","Sihlpromenade","20181221000000","ECO09113503","10","Innenstadt","Saalsporthalle","20100714000000","20","1.0900000000","POINT (2682375 1247054.9)"
"VZS_BERT","Bertastrasse","20181221000000","ECO09113506","12","Wiedikon","Aussersihl","20100726000000","21","1.2700000000","POINT (2681385 1247735.9)"
"FZS_LETL","Lettenviadukt (Limmatstr.)","20151001000000","U15G3063869","28","Limmat","Gleisanlagen","20150331000000","22","0.7900000000","POINT (2682171 1249123.9)"
"FZS_MYTH","Mythenquai Unterführung","20150430000000","U15G3104443","37","Seeufer","Bhf. Wollishofen","20131128000000","23","0.8500000000","POINT (2682813 1245489.9)"
"FZS_ARBO","Arboretum","20150908000000","U15G3104446","46","Stadtgrenze","Innenstadt","20150310000000","24","1.0200000000","POINT (2682973 1246328.9)"
